,,,,,,Incorrect,Correct(ed),Fixed Error,Unable to Identify,Calculate OZ into lbs >,21.00,1.31,< lbs in % will appear here,CA Shipment Complete,In BC,Sent Eshp,Sent Rutherford,Val. Ent. Compl.,,,,,,,,$0.00,,,,,,,,,,,,,,
POA,Notes,Date Processed,Congsinee ID No.,Content Photo Link,Label Photo Link,Shipment ID,Consignee Name,Consignee Address1,Consignee Address2,Consignee City,Consignee Province,Consignee Postal Code,Product Number,Product Description,Quantity,Price,Total Price,Country of Origin,HS Code,Net Weight,Weight Unit,Number of Packages,Currency,Package ID,PARS No.,b2m_wlr_imp_code,Importer Name,Importer Address 1',Importer Address 2,Importer City,Importer Province,Importer Postal Code,Importer Business No.,Vendor Name,Vendor Address1,Vendor Address2,Vendor City,Vendor State,Vendor Country,Packaging Unit
NO,,08/03/2019,41174,https://drive.google.com/open?id=1mKNaNG4k5UbpMhmC_9125jHtzDHk_7kF,https://drive.google.com/open?id=1IV0Cc0i6mT1oTdXDCsd5l__1nZ0myX-t,41174_080319_8,2435556 Ontario Inc,4525 Full Moon Circle,,Mississauga,ON,L4Z 2L5,,RET TO CAN - VanCleef-cosmetic,1,$70.00,$70.00,CN,9814,1.1,LBR,1,USD,,,,2435556 Ontario Inc,4525 Full Moon Circle,,Mississauga,ON,L4Z 2L5,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NO,,08/03/2019,41174,https://drive.google.com/open?id=1ijwOp2gcK6D1mFt0eMO857AOQ549BxQT,https://drive.google.com/open?id=1EcUFsjLGj1k9-QCWAbytZq9Gky-fOidZ,41524_080319_9,2625029 Ontario Limited / Featherology,70 belfield road unit 12,,Etobicoke,ON,M9W 1G3,,RET TO CAN - Terrarium,1,$60.00,$60.00,CN,9814,8,LBR,1,USD,,,,2625029 Ontario Limited / Featherology,70 belfield road unit 12,,Etobicoke,ON,M9W 1G3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
NO,,08/14/2019,41174,https://drive.google.com/open?id=1SEY1PrRtTwVsmZgo7U_lr2i-XlB1lB4V,https://drive.google.com/open?id=1XkV2XiEwuGOg_j7HwvOYbDP8tkjo9lxZ,41524_081419_16,2625029 Ontario Limited / Featherology,70 belfield road unit 12,,Etobicoke,ON,M9W 1G3,,"RET TO CAN - Metal Stands, Terrariums
",2,$12.50,$25.00,CN,9814,5,LBR,1,USD,,,,2625029 Ontario Limited / Featherology,70 belfield road unit 12,,Etobicoke,ON,M9W 1G3,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YES,,08/02/2019,23392,https://drive.google.com/open?id=14j5xH4o_Kwyi_HXTp_STk8sXj1-8OpGv,https://drive.google.com/open?id=1O_krSGK7mcKtTOhu0COgMTv1RUw_04YT,23392_080219_2,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",2,$2.50,$5.00,CN,9814,1,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/03/2019,23392,https://drive.google.com/open?id=1xBPVXHbB03KqdG2_nhMIagmDPB7Gt7EN,https://drive.google.com/open?id=1w4ZiTRmHnHhNv4CEzydct57y0Qfe_7el,23392_080319_22,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",2,$2.50,$5.00,CN,9814,1,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/08/2019,23392,https://drive.google.com/open?id=1aeA_-mAQlJnxoQA58ianwGHNeIkGnoah,https://drive.google.com/open?id=11y8ZAXhMZXB8HZ4v1rUdP49zhY3PhtHE,23392_080819_5,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",1,$5.00,$5.00,CN,9814,1,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
YES,,08/09/2019,23392,https://drive.google.com/open?id=1Hmnwk81-uhiGLGbwbvWnkY0CQsVz1K5U,https://drive.google.com/open?id=1h4vzad2HFW4HdY9FMBwyOAeHQQJpCgkG,23392_080919_22,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,"RET TO CAN - Wallpaper
",1,$10.00,$10.00,CN,9814,2,LBR,1,USD,,,,AG Decor,98 Thomas Legge Crescent,,Richmond hill,ON,L4E 4V7,,Defranco Hardware,3105 Pine Ave,14301,Niagara Falls,NY,USA,PCE
